id,name,status,country,state,city,postal_code,full_address,phone,latitude,longitude,official_url,services,audiology,source_url
3870857,Bupa Optical Belconnen,Active,Australia,ACT,Benjamin Way,2617,"Shop 71A, Westfield Shopping Centre, Benjamin Way, Benjamin Way, ACT, 2617, Australia",02 7257 4453,-35.23805000,149.06730000,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-belconnen,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
13626286,Bupa Optical & Hearing Woden,Active,Australia,ACT,Woden,2606,"Shop 75 Westfield Woden, Keltie Street, Woden, ACT, 2606, Australia",02 8336 0711,-35.34552000,149.08488750,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-woden,hearing|optical,true,https://bupaoptical.bupa.com.au/pages/store-locator
3870870,Bupa Optical Bondi Junction,Active,Australia,NSW,Bondi Junction,2022,"Shop 2056 Westfield Bondi Junction, 500 Oxford St, Bondi Junction, NSW, 2022, Australia",02 7908 5767,-33.89142000,151.25082000,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-bondi-junction,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
3870871,Bupa Optical Warringah Mall,Active,Australia,NSW,Brookvale,2100,"131 Warringah Mall, Brookvale, NSW, 2100, Australia",02 8336 0710,-33.75468314,151.26901891,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-warringah-mall,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
13626250,Bupa Optical & Hearing Burwood,Active,Australia,NSW,Burwood,2134,"Shop 348 Westfield Burwood, 100 Burwood Road, Burwood, NSW, 2134, Australia",02 8336 0705,-33.87455500,151.10524757,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-burwood,hearing|optical,true,https://bupaoptical.bupa.com.au/pages/store-locator
3870862,Bupa Optical Castle Hill,Active,Australia,NSW,Castle Hill,2154,"Shop 374 Castle Towers Shopping Centre, 6/14 Castle Street, Castle Hill, NSW, 2154, Australia",02 8336 0706,-33.73055264,151.00624741,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-castle-hill,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
13626256,Bupa Optical & Hearing Chatswood,Active,Australia,NSW,Chatswood,2067,"381 Victoria Avenue, Chatswood, NSW, 2067, Australia",02 7908 7253,-33.79595537,151.18524770,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-chatswood,hearing|optical,true,https://bupaoptical.bupa.com.au/pages/store-locator
3870872,Bupa Optical Kotara,Active,Australia,NSW,Kotara,2289,"Shop 1050A Westfield Kotara, Northcott Drive & Park Ave, Kotara, NSW, 2289, Australia",02 7908 7609,-32.94061200,151.71227100,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-kotara,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
13626266,Bupa Optical & Hearing Liverpool,Active,Australia,NSW,Liverpool,2170,"Shop 173, Westfield Liverpool, Macquarie Street, Liverpool, NSW, 2170, Australia",02 7908 6587,-33.92219000,150.92347000,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-liverpool,hearing|optical,true,https://bupaoptical.bupa.com.au/pages/store-locator
3870864,Bupa Optical Miranda,Active,Australia,NSW,Miranda,2228,"Shop 1092 Westfield Miranda, 600 Kingsway, Miranda, NSW, 2228, Australia",02 7908 0606,-34.03455762,151.09924756,https://bupaoptical.bupa.com.au/pages/store/bupa-optical-miranda,optical,false,https://bupaoptical.bupa.com.au/pages/store-locator
