store_id,location_setting,canonical_name,place_type,official_url,evidence_basis,confidence,source_date,owner,manager,place_official_url
bailey-nelson-belconnen,Shopping Centre,Westfield Belconnen,Shopping Centre,https://www.westfield.com.au/belconnen/store/5TPpI9MjtZqWIXgQoBZf0z/bailey-nelson,Official centre directory lists Bailey Nelson at Westfield Belconnen,High,2026-09-01,,
bailey-nelson-nz-optometrist-ponsonby,High Street,Ponsonby Road,High Street Corridor,https://baileynelson.co.nz/pages/optometrist-ponsonby,Official store address is a street-front retail tenancy at 160 Ponsonby Road,High,2026-09-01,,
bailey-nelson-nz-optometrist-sylvia-park,Shopping Centre,Sylvia Park,Shopping Centre,https://www.sylviapark.com/stores/bailey-nelson-coming-soon/,Official Sylvia Park directory lists Bailey Nelson as a centre tenant,High,2026-09-01,,
bailey-nelson-nz-optometrist-auckland-cbd,Shopping Centre,Commercial Bay,Shopping Centre,https://heartofthecity.co.nz/auckland-shopping/bailey-nelson,Public city-centre directory identifies the tenancy as Level 2 Commercial Bay,High,2026-09-01,,
bailey-nelson-nz-optometrist-riccarton,Shopping Centre,Westfield Riccarton,Shopping Centre,https://www.westfield.co.nz/riccarton/opening-hours,Official centre address matches the Bailey Nelson tenancy at 129 Riccarton Road,High,2026-09-01,,
bailey-nelson-green-hills,Shopping Centre,Stockland Green Hills,Shopping Centre,https://www.stockland.com.au/shopping-centres/centres/stockland-green-hills,Official centre address matches the Bailey Nelson store at 1 Molly Morgan Drive,High,2026-09-01,,
bailey-nelson-miranda,Shopping Centre,Westfield Miranda,Shopping Centre,https://www.westfield.com.au/miranda/store/5Z3jNm4wGQ4WcY66gygWky/bailey-nelson,Official Westfield directory lists Bailey Nelson at Miranda,High,2026-09-01,,
bailey-nelson-mosman,High Street,Military Road Mosman,High Street Corridor,https://baileynelson.com.au/pages/optometrist-mosman,Storefront address and public retail evidence identify a Military Road street tenancy,High,2026-09-01,,
bailey-nelson-pitt-st-sydney,Shopping Centre,Westfield Sydney,Shopping Centre,https://www.westfield.com.au/sydney/store/5Z3jNm4wGQ4WcY66gygWky/bailey-nelson,Official store name and Westfield directory identify Westfield Sydney,High,2026-09-01,,
opsm-1121,Shopping Centre,Marketplace Gungahlin,Shopping Centre,https://www.marketplacegungahlin.com.au/shopping/health-fitness/optical/opsm/,Official centre directory lists OPSM and the store address matches the Marketplace Gungahlin development,High,2026-09-02,,,https://www.marketplacegungahlin.com.au/
specsavers-3583,Shopping Centre,Marketplace Gungahlin,Shopping Centre,https://www.marketplacegungahlin.com.au/shopping/health-fitness/optical/specsavers/,Official Marketplace directory lists Specsavers in Shop 17 of the Big W Building,High,2026-09-02,,,https://www.marketplacegungahlin.com.au/
specsavers-3657,Shopping Centre,Cooleman Court,Shopping Centre,https://www.specsavers.com.au/stores/westoncreek,Official Specsavers store address explicitly names Shop 007 Cooleman Court,High,2026-09-02,,,https://www.coolemancourt.com.au/
specsavers-nz-3841,Shopping Centre,Silverdale Mall,Shopping Centre,https://silverdalemall.co.nz/store/specsavers/,Official Silverdale Mall directory lists Specsavers as a current tenant,High,2026-09-02,Millwater Park Limited,Barfoot & Thompson Commercial,https://silverdalemall.co.nz/
opsm-nz-2353,Shopping Centre,Silverdale Centre,Shopping Centre,https://silverdalecentre.co.nz/opsm/,Official Silverdale Centre directory lists OPSM at Shop 11B 61 Silverdale Street,High,2026-09-02,Stride Property Limited,Stride Property Limited,https://silverdalecentre.co.nz/
specsavers-3469,High Street,Manning Street,High Street Corridor,https://www.specsavers.com.au/stores/taree,Current official address is Shop 2 at 42-44 Manning Street with no current centre tenancy evidence,Medium,2026-09-02,,
specsavers-nz-3853,High Street,The Strand,High Street Corridor,https://www.specsavers.co.nz/stores/whakatane,Official current store address is 184 The Strand and no shopping-centre tenancy is identified,High,2026-09-02,,
oscar-wylee-nz-optometrist-auckland-cbd,High Street,Queen Street,High Street Corridor,https://www.oscarwylee.co.nz/locations/optometrist-auckland-cbd.html,Official store page places the tenancy in the Colonial Building on Queen Street rather than in a shopping centre,High,2026-09-02,,
opsm-nz-1684,Shopping Centre,Milford Centre,Shopping Centre,https://milfordcentre.co.nz/listing/opsm/,Official Milford Centre directory lists OPSM as a tenant,High,2026-09-02,,,https://milfordcentre.co.nz/
specsavers-nz-3863,Shopping Centre,Tauranga Crossing,Shopping Centre,https://www.specsavers.co.nz/stores/tauranga-crossing,Official store name and address explicitly identify Tauranga Crossing,High,2026-09-02,,
specsavers-3465,High Street,Dean Street,High Street Corridor,https://www.specsavers.com.au/stores/albury,Official current address is a Dean Street shopfront with no named shopping centre,High,2026-09-02,,
specsavers-3611,Shopping Centre,Armidale Central,Shopping Centre,https://www.specsavers.com.au/stores/armidale,Official address explicitly names Armidale Central,High,2026-09-02,,
oscar-wylee-145,Shopping Centre,Bankstown Central,Shopping Centre,https://www.oscarwylee.com.au/locations/locations/optometrist-bankstown.html,Official store name and address explicitly identify Bankstown Central,High,2026-09-02,,
specsavers-3383,Shopping Centre,Bankstown Central,Shopping Centre,https://www.specsavers.com.au/stores/bankstown,Official address and coordinates match the North Terrace tenancy at Bankstown Central,High,2026-09-02,,
specsavers-3663,Shopping Centre,Carlingford Court,Shopping Centre,https://www.specsavers.com.au/stores/carlingford,Official address explicitly names Carlingford Court,High,2026-09-02,,
specsavers-3544,Shopping Centre,Marrickville Metro,Shopping Centre,https://www.marrickvillemetro.com.au/stores-services/specsavers,Official Marrickville Metro directory lists Specsavers as a current tenant,High,2026-09-02,,,https://www.marrickvillemetro.com.au/
specsavers-3494,High Street,Military Road Neutral Bay,High Street Corridor,https://www.specsavers.com.au/stores/neutralbay,Official address is a Military Road shopfront and no centre tenancy is identified,High,2026-09-02,,
opsm-4633,Shopping Centre,Rouse Hill Town Centre,Shopping Centre,https://www.opsm.com.au/en/opsm-au/find-store,Official address matches the Market Place tenancy and canonical Rouse Hill Town Centre location,Medium,2026-09-02,,
opsm-1105,Shopping Centre,Stockland Shellharbour,Shopping Centre,https://www.opsm.com.au/en/opsm-au/find-store,Official shop number and coordinates match the Stockland Shellharbour tenancy,Medium,2026-09-02,,,https://www.stockland.com.au/shopping-centres/centres/stockland-shellharbour
oscar-wylee-3,Shopping Centre,The Galeries,Shopping Centre,https://www.oscarwylee.com.au/locations/locations/optometrist-sydney-galeries.html,Official store name and address explicitly identify The Galeries,High,2026-09-02,,
specsavers-3505,Shopping Centre,Broadway Shopping Centre,Shopping Centre,https://www.specsavers.com.au/stores/broadway,Official address identifies the Broadway tenancy beside Coles,High,2026-09-02,,
oscar-wylee-133,Shopping Centre,Wollongong Central,Shopping Centre,https://www.oscarwylee.com.au/locations/locations/optometrist-wollongong-central.html,Official store name and address explicitly identify Wollongong Central,High,2026-09-02,,
specsavers-3527,High Street,Queen Street Brisbane,High Street Corridor,https://www.specsavers.com.au/stores/brisbanecbdeast,Official address is a Queen Street shop in an office building rather than a shopping centre,Medium,2026-09-02,,
specsavers-3437,Shopping Centre,Earlville Shopping Town,Shopping Centre,https://earlvilleshoppingtown.com.au/stores/specsavers/,Official Earlville Shopping Town directory lists Specsavers as a tenant,High,2026-09-02,,,https://earlvilleshoppingtown.com.au/
specsavers-3303,Shopping Centre,Domain Central,Shopping Centre,https://www.specsavers.com.au/stores/townsville,Official store name and address explicitly identify Domain Central,High,2026-09-02,,
specsavers-3653,Shopping Centre,HomeCo Lutwyche,Shopping Centre,https://www.specsavers.com.au/stores/lutwyche,Official address explicitly names HomeCo Lutwyche,High,2026-09-02,,
specsavers-3343,Shopping Centre,Pialba Place,Shopping Centre,https://www.specsavers.com.au/stores/herveybaypialba,Official address explicitly names Pialba Place,High,2026-09-02,,
oscar-wylee-93,Shopping Centre,Orion Springfield Central,Shopping Centre,https://www.oscarwylee.com.au/locations/locations/optometrist-springfield.html,Official address matches the Orion Springfield Central tenancy,High,2026-09-02,,
specsavers-3567,Shopping Centre,Orion Springfield Central,Shopping Centre,https://www.specsavers.com.au/stores/springfield,Official address explicitly names Orion Springfield Central,High,2026-09-02,,
specsavers-3664,Shopping Centre,Yamanto Central,Shopping Centre,https://www.specsavers.com.au/stores/yamanto,Official address explicitly names Yamanto Central,High,2026-09-02,,
opsm-2961,Shopping Centre,The Hub Shopping Centre,Shopping Centre,https://www.opsm.com.au/en/opsm-au/find-store,Official shop address matches the optical tenancy at The Hub in Aberfoyle Park,Medium,2026-09-02,,
specsavers-3524,Shopping Centre,Arndale Central,Shopping Centre,https://www.specsavers.com.au/stores/kilkenny,Official address explicitly names Arndale Central,High,2026-09-02,,
specsavers-3458,Shopping Centre,Mount Barker Central,Shopping Centre,https://www.specsavers.com.au/stores/mtbarker,Official address explicitly names Mount Barker Central Shopping Centre,High,2026-09-02,,
specsavers-3415,Shopping Centre,Norwood Place,Shopping Centre,https://www.specsavers.com.au/stores/norwood,Official store name and address explicitly identify Norwood Place,High,2026-09-02,,
opsm-2962,Shopping Centre,Pasadena Green Shopping Centre,Shopping Centre,https://www.opsm.com.au/stores/sa/pasadena/vision-hub-pasadena-by-opsm/2962,Official store address matches the Pasadena Green tenancy at 20 Five Ash Drive,High,2026-09-02,,
specsavers-3642,Shopping Centre,Seaford Central,Shopping Centre,https://www.specsavers.com.au/stores/seaford,Official address explicitly names Seaford Central,High,2026-09-02,,
specsavers-3573,Shopping Centre,Victor Central,Shopping Centre,https://www.specsavers.com.au/stores/victor-harbor,Official store name and address explicitly identify Victor Central,High,2026-09-02,,
