previous_place_id,canonical_place_id,reason
act-belconnen-westfield,place-au-act-westfield-belconnen,Canonical centre consolidation
act-canberra,place-au-act-canberra-centre,Canonical centre consolidation
act-m,place-au-act-m-centre,Canonical centre consolidation
act-point-south,place-au-act-south-point-shopping-centre,Canonical centre consolidation
act-square-tuggeranong,place-au-act-tuggeranong-square,Canonical centre consolidation
act-westfield-woden,place-au-act-westfield-woden,Canonical centre consolidation
auckland-albany-westfield,place-nz-auckland-westfield-albany,Canonical centre consolidation
auckland-botany-town,place-nz-auckland-botany-town-centre,Canonical centre consolidation
auckland-city-manukau-westfield,place-nz-auckland-manukau-westfield,Canonical centre consolidation
auckland-glenfield,place-nz-auckland-glenfield-mall,Canonical centre consolidation
auckland-lukes-st-westfield,place-nz-auckland-westfield-st-lukes,Canonical centre consolidation
auckland-lynn,place-nz-auckland-lynnmall-shopping-centre,Canonical centre consolidation
auckland-lynnmall,place-nz-auckland-lynnmall-shopping-centre,Canonical centre consolidation
auckland-manukau-westfield,place-nz-auckland-manukau-westfield,Canonical centre consolidation
auckland-newmarket-westfield,place-nz-auckland-newmarket-westfield,Canonical centre consolidation
auckland-northwest,place-nz-auckland-northwest-shopping-centre,Canonical centre consolidation
auckland-onehunga,place-nz-auckland-onehunga-mall,Canonical centre consolidation
auckland-ormiston-town,place-nz-auckland-ormiston-town-centre,Canonical centre consolidation
auckland-park-sylvia,place-nz-auckland-sylvia-park-mall,Canonical centre consolidation
auckland-waitakere-westcity,place-nz-auckland-westcity-waitakere-shopping-centre,Canonical centre consolidation
bay-of-plenty-bayfair,place-nz-bay-of-plenty-bayfair-shopping-centre,Canonical centre consolidation
canterbury-hornby-hub-the,place-nz-canterbury-the-hub-hornby-mall,Canonical centre consolidation
canterbury-northlands,place-nz-canterbury-northlands-mall,Canonical centre consolidation
canterbury-palms-the,place-nz-canterbury-the-palms-shopping-centre,Canonical centre consolidation
canterbury-riccarton-westfield,place-nz-canterbury-riccarton-westfield,Canonical centre consolidation
corridor-nz-wellington-te-aro-cuba-street,place-nz-wellington-cnr-cuba-mall-and-dixon-street,Evidence-backed place identity consolidation
manawatu-whanganui-levin,place-nz-manawatu-whanganui-levin-shopping-centre,Canonical centre consolidation
manawatu-whanganui-north-palmerston-plaza-the,place-nz-manawatu-whanganui-the-plaza-palmerston-north,Canonical centre consolidation
manawatu-whanganui-plaza-the,place-nz-manawatu-whanganui-the-plaza-palmerston-north,Canonical centre consolidation
marlborough-forum-the,place-nz-marlborough-the-forum,Canonical centre consolidation
nelson-buxton-square,place-nz-nelson-buxton-square,Canonical centre consolidation
nelson-richmond,place-nz-tasman-richmond-mall,Canonical centre consolidation
northland-butler-john,place-nz-northland-john-butler-centre,Canonical centre consolidation
nsw-109-129-2112-blaxland-city-nsw-road-ryde-top,place-au-nsw-top-ryde-city-shopping-centre,Canonical centre consolidation
nsw-2-lv-miranda-westfield,place-au-nsw-westfield-miranda,Canonical centre consolidation
nsw-alstonville-plaza,place-au-nsw-alstonville-plaza,Canonical centre consolidation
nsw-arcade-moss-vale,place-au-nsw-moss-vale-arcade,Canonical centre consolidation
nsw-arcade-strand-the,place-au-nsw-the-strand-arcade,Canonical centre consolidation
nsw-ashfield,place-au-nsw-ashfield-mall,Canonical centre consolidation
nsw-balgowlah,place-au-nsw-balgowlah-shopping-centre,Canonical centre consolidation
nsw-bankstown-city-plaza,place-au-nsw-bankstown-city-plaza,Canonical centre consolidation
nsw-bass-hill-plaza,place-au-nsw-bass-hill-plaza,Canonical centre consolidation
nsw-bateau-bay-square,place-au-nsw-bateau-bay-square,Canonical centre consolidation
nsw-bathurst-city,place-au-nsw-bathurst-city-centre,Canonical centre consolidation
nsw-bay-village-warners,place-au-nsw-warners-bay-village,Canonical centre consolidation
nsw-belmont-citi,place-au-nsw-belmont-citi-centre,Canonical centre consolidation
nsw-belmore-the,place-au-nsw-the-belmore-centre,Canonical centre consolidation
nsw-blacktown-westpoint,place-au-nsw-westpoint-shopping-centre,Canonical centre consolidation
nsw-bondi-eastgate-junction,place-au-nsw-bondi-junction-eastgate,Canonical centre consolidation
