source_store_id,canonical_store_id,reason,source_url,verified_at
eyecare-plus-117756,eyecare-plus-5512,Duplicate official locator record with identical address coordinates and phone,https://www.eyecareplus.com.au/find-optometrist/,2026-09-02
optical-superstore-60454,optical-superstore-153567,Duplicate official locator record with identical tenancy coordinates phone and equivalent address,https://opticalsuperstore.com.au/find-your-nearest-store/,2026-09-02
independent-other-optical-osm-au-node-12556385824,eyecare-plus-4333,OSM record matches the official Eyecare Plus store name postcode and coordinates,https://www.openstreetmap.org/node/12556385824,2026-09-02
independent-other-optical-osm-au-node-4066348932,eyecare-plus-589,OSM record matches the official Eyecare Plus store name and coordinates,https://www.openstreetmap.org/node/4066348932,2026-09-02
independent-other-optical-osm-au-node-10705975016,eyecare-plus-592,OSM record matches the official Eyecare Plus store name postcode and coordinates,https://www.openstreetmap.org/node/10705975016,2026-09-02
independent-other-optical-osm-au-node-5267197634,eyecare-plus-641,OSM record matches the official Eyecare Plus store name and mapped locality,https://www.openstreetmap.org/node/5267197634,2026-09-02
independent-other-optical-osm-au-node-4797976138,george-matilda-17211,OSM record matches the official Clarity Optometrists name postcode and coordinates,https://www.openstreetmap.org/node/4797976138,2026-09-02
independent-other-optical-osm-au-node-1808405751,george-matilda-400,OSM Eyelines record matches the official Legana practice location,https://www.openstreetmap.org/node/1808405751,2026-09-02
independent-other-optical-osm-au-node-9983421754,george-matilda-392,OSM Eyelines record matches the official Devonport practice postcode and coordinates,https://www.openstreetmap.org/node/9983421754,2026-09-02
independent-other-optical-osm-au-node-13592054475,george-matilda-441,OSM George & Matilda record matches the official Daylesford practice,https://www.openstreetmap.org/node/13592054475,2026-09-02
independent-other-optical-osm-au-way-148877743,george-matilda-442,OSM Darryl Wilson record matches the official Wendouree practice banner and coordinates,https://www.openstreetmap.org/way/148877743,2026-09-02
independent-other-optical-osm-au-node-1055773701,george-matilda-448,OSM Eyescan Toorak record matches the official George & Matilda Eyescan practice,https://www.openstreetmap.org/node/1055773701,2026-09-02
independent-other-optical-osm-au-node-11383213002,george-matilda-478,OSM G&M My Optical record matches the official Warwick practice,https://www.openstreetmap.org/node/11383213002,2026-09-02
independent-other-optical-osm-au-node-11751506894,george-matilda-480,OSM record matches the official Optique Double Bay practice,https://www.openstreetmap.org/node/11751506894,2026-09-02
independent-other-optical-osm-au-node-2755159686,george-matilda-481,OSM record matches the official Optique Potts Point practice,https://www.openstreetmap.org/node/2755159686,2026-09-02
independent-other-optical-osm-au-way-542912832,george-matilda-492,OSM Prime Vision record matches the official Oakleigh practice postcode and coordinates,https://www.openstreetmap.org/way/542912832,2026-09-02
independent-other-optical-osm-au-way-605984555,george-matilda-17201,OSM Metro Specs record matches the official Marrickville practice,https://www.openstreetmap.org/way/605984555,2026-09-02
independent-other-optical-osm-au-node-2798570622,george-matilda-17210,OSM Vision Optics record matches the official West End practice,https://www.openstreetmap.org/node/2798570622,2026-09-02
independent-other-optical-osm-au-node-11103983492,optical-superstore-60364,OSM Optical Superstore record matches the official Black Forest location,https://www.openstreetmap.org/node/11103983492,2026-09-02
independent-other-optical-osm-au-node-3616959028,optical-superstore-60452,OSM Optical Superstore record matches the official Bundaberg location,https://www.openstreetmap.org/node/3616959028,2026-09-02
independent-other-optical-osm-au-node-14091699299,optical-superstore-153567,OSM Optical Superstore record matches the official DFO Cairns tenancy,https://www.openstreetmap.org/node/14091699299,2026-09-02
independent-other-optical-osm-au-node-10566668350,optical-superstore-60458,OSM Optical Superstore record matches the official Capalaba location,https://www.openstreetmap.org/node/10566668350,2026-09-02
independent-other-optical-osm-au-way-1019628539,optical-superstore-60370,OSM Optical Superstore record matches the official Coffs Harbour location,https://www.openstreetmap.org/way/1019628539,2026-09-02
independent-other-optical-osm-au-node-13987432119,optical-superstore-61175,OSM Optical Superstore record matches the official Elanora location,https://www.openstreetmap.org/node/13987432119,2026-09-02
independent-other-optical-osm-au-node-13189720700,optical-superstore-61605,OSM Optical Superstore record matches the official Gilles Plains postcode and coordinates,https://www.openstreetmap.org/node/13189720700,2026-09-02
independent-other-optical-osm-au-node-13174858453,optical-superstore-61469,OSM Optical Superstore record matches the official Hilton Plaza location,https://www.openstreetmap.org/node/13174858453,2026-09-02
independent-other-optical-osm-au-node-4837914521,optical-superstore-61635,OSM Optical Superstore record matches the official Marion location,https://www.openstreetmap.org/node/4837914521,2026-09-02
independent-other-optical-osm-au-node-9406577080,optical-superstore-60821,OSM Optical Superstore record matches the official Maroochydore location,https://www.openstreetmap.org/node/9406577080,2026-09-02
independent-other-optical-osm-au-node-8639150772,optical-superstore-60376,OSM optical-store record matches the official Port Macquarie tenancy coordinates,https://www.openstreetmap.org/node/8639150772,2026-09-02
independent-other-optical-osm-au-node-5590821334,optical-superstore-61305,OSM Optical Superstore record matches the official Aitkenvale location,https://www.openstreetmap.org/node/5590821334,2026-09-02
independent-other-optical-osm-au-node-12958128048,optical-superstore-60366,OSM Optical Superstore record matches the official Yeppoon location,https://www.openstreetmap.org/node/12958128048,2026-09-02
